Locality,Latitude,Longitude
CLYDE,-38.135009,145.384606
CLYDE NORTH,-38.135009,145.384606
FYANSFORD,-38.13028025,144.2894883
FRANKSTON NORTH,-38.126458,145.157574
PINES FOREST,-38.126458,145.157574
GLENGARRY,-38.12413,146.596877
GLENGARRY NORTH,-38.12413,146.596877
GLENGARRY WEST,-38.12413,146.596877
STONEHAVEN,-38.1220442,144.223441
BOCHARA,-38.118855,142.034141
BROADWATER,-38.118855,142.034141
BUCKLEY SWAMP,-38.118855,142.034141
BYADUK,-38.118855,142.034141
CROXTON EAST,-38.118855,142.034141
HENSLEY PARK,-38.118855,142.034141
MORGIANA,-38.118855,142.034141
MOUNT NAPIER,-38.118855,142.034141
STRATHKELLAR,-38.118855,142.034141
TAHARA,-38.118855,142.034141
TARRINGTON,-38.118855,142.034141
WANNON,-38.118855,142.034141
WARRAYURE,-38.118855,142.034141
YATCHAW,-38.118855,142.034141
YULECART,-38.118855,142.034141
BELL PARK,-38.111002,144.33452
BELL POST HILL,-38.111002,144.33452
DRUMCONDRA,-38.111002,144.33452
GEELONG NORTH,-38.111002,144.33452
HAMLYN HEIGHTS,-38.111002,144.33452
NORTH GEELONG,-38.111002,144.33452
RIPPLESIDE,-38.111002,144.33452
CORA LYNN,-38.10718,145.669112
GARFIELD,-38.10718,145.669112
GARFIELD NORTH,-38.10718,145.669112
VERVALE,-38.10718,145.669112
EAST SALE RAAF,-38.106731,147.134356
SALE EAST RAAF,-38.106731,147.134356
EAST SALE,-38.10361729,147.1414369
BELVEDERE PARK,-38.103194,145.137811
SEAFORD,-38.103194,145.137811
ATHLONE,-38.096289,145.867337
DROUIN,-38.096289,145.867337
DROUIN EAST,-38.096289,145.867337
DROUIN SOUTH,-38.096289,145.867337
DROUIN WEST,-38.096289,145.867337
HALLORA,-38.096289,145.867337
JINDIVICK,-38.096289,145.867337
RIPPLEBROOK,-38.096289,145.867337
TARAGO,-38.096289,145.867337
SALE,-38.095569,146.059953
MURGHEBOLUC,-38.09450396,144.1418215
CARRUM DOWNS,-38.092874,145.177905
BATESFORD,-38.091,144.2779
HESSE,-38.087758,143.88056
INVERLEIGH,-38.087758,143.88056
WINGEEL,-38.087758,143.88056
THALLOO,-38.08561743,146.3086546
CORIO,-38.084781,144.352385
NORLANE,-38.084781,144.352385
NORTH SHORE,-38.084781,144.352385
BRAVINGTON,-38.08301804,145.9226127
SANDHURST,-38.08209438,145.2086871
CARRUM,-38.072748,145.134111
